team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,38,76,7,17,12,15,12,27,22,4,4,15,17
ATLANTA HAWKS,240,33,79,0,8,17,24,13,26,15,7,5,10,19
MILWAUKEE BUCKS,240,38,80,5,14,30,41,15,27,22,8,7,10,21
CLEVELAND CAVALIERS,240,39,83,8,21,21,25,10,30,19,5,3,13,31
TORONTO RAPTORS,240,36,80,8,19,19,23,11,29,19,4,2,9,16
DALLAS MAVERICKS,240,37,75,8,21,23,28,9,32,17,4,5,8,20
CHICAGO BULLS,240,38,95,6,20,9,15,18,29,25,9,5,21,24
DENVER NUGGETS,240,39,77,6,19,28,34,7,38,26,11,7,21,16
LOS ANGELES LAKERS,240,42,72,13,25,37,46,4,44,29,5,5,13,28
INDIANA PACERS,240,42,103,6,27,24,32,18,28,28,5,3,7,26
GOLDEN STATE WARRIORS,240,41,86,9,30,17,27,8,26,21,17,7,11,24
NEW YORK KNICKS,240,31,79,4,20,16,23,15,37,15,3,0,27,26
PHOENIX SUNS,240,36,83,5,21,23,29,7,35,17,9,7,14,24
SACRAMENTO KINGS,240,35,79,6,18,22,30,7,36,17,7,1,17,24
PHILADELPHIA 76ERS,240,43,91,8,16,7,14,16,21,26,4,3,10,17
WASHINGTON WIZARDS,240,47,82,7,16,15,18,10,31,29,7,7,11,13
