team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MINNESOTA TIMBERWOLVES,240,29,62,4,10,32,34,5,31,12,8,3,17,27,away,win,94.0,ATLANTA HAWKS,84.0
ATLANTA HAWKS,240,30,72,3,14,21,27,8,24,12,7,4,16,27,home,loss,84.0,MINNESOTA TIMBERWOLVES,94.0
LOS ANGELES LAKERS,240,33,87,5,19,15,17,15,26,23,8,3,6,21,away,loss,86.0,DENVER NUGGETS,87.0
DENVER NUGGETS,240,33,79,5,18,16,25,17,38,21,1,8,15,24,home,win,87.0,LOS ANGELES LAKERS,86.0
PHOENIX SUNS,240,30,75,2,8,27,30,14,26,19,7,6,17,23,away,loss,89.0,HOUSTON ROCKETS,94.0
HOUSTON ROCKETS,240,35,79,3,12,21,25,13,30,16,9,4,19,28,home,win,94.0,PHOENIX SUNS,89.0
SEATTLE SUPERSONICS,240,32,93,3,15,19,30,18,30,12,13,3,12,24,away,win,86.0,LOS ANGELES CLIPPERS,83.0
LOS ANGELES CLIPPERS,240,30,67,3,10,20,31,10,43,12,6,4,30,26,home,loss,83.0,SEATTLE SUPERSONICS,86.0
PORTLAND TRAIL BLAZERS,240,31,68,3,14,15,19,8,35,14,6,3,18,21,away,loss,80.0,MIAMI HEAT,86.0
MIAMI HEAT,240,35,83,2,10,14,18,13,29,18,12,2,9,21,home,win,86.0,PORTLAND TRAIL BLAZERS,80.0
INDIANA PACERS,240,35,79,8,19,14,21,17,32,18,6,6,22,26,away,loss,92.0,NEW JERSEY NETS,97.0
NEW JERSEY NETS,240,34,80,4,11,25,33,16,25,23,11,7,12,23,home,win,97.0,INDIANA PACERS,92.0
MILWAUKEE BUCKS,240,43,92,8,14,8,13,14,25,17,4,8,11,39,away,loss,102.0,TORONTO RAPTORS,111.0
TORONTO RAPTORS,240,32,76,6,16,41,49,13,33,26,7,6,9,21,home,win,111.0,MILWAUKEE BUCKS,102.0
CHICAGO BULLS,240,22,81,1,8,19,24,13,18,15,11,7,10,24,away,loss,64.0,UTAH JAZZ,109.0
UTAH JAZZ,240,43,70,5,9,18,28,11,41,33,5,13,19,26,home,win,109.0,CHICAGO BULLS,64.0
DALLAS MAVERICKS,240,33,73,7,16,18,25,9,35,16,6,6,16,19,away,win,91.0,VANCOUVER GRIZZLIES,88.0
VANCOUVER GRIZZLIES,240,36,78,4,11,12,18,9,27,28,12,3,15,19,home,loss,88.0,DALLAS MAVERICKS,91.0
BOSTON CELTICS,240,31,82,11,29,16,22,13,28,17,5,3,17,19,away,loss,89.0,WASHINGTON WIZARDS,109.0
WASHINGTON WIZARDS,240,42,77,5,11,20,23,5,34,26,14,9,13,22,home,win,109.0,BOSTON CELTICS,89.0
