team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
TORONTO RAPTORS,240,40,69,15,21,19,19,4,25,32,8,2,18,20,away,win,114.0,BOSTON CELTICS,112.0
BOSTON CELTICS,240,44,89,7,21,17,22,16,23,30,11,5,12,19,home,loss,112.0,TORONTO RAPTORS,114.0
DALLAS MAVERICKS,240,39,82,3,17,21,25,10,33,18,4,6,6,20,away,win,102.0,CHARLOTTE BOBCATS,95.0
CHARLOTTE BOBCATS,240,36,81,3,18,20,24,11,31,18,5,3,9,21,home,loss,95.0,DALLAS MAVERICKS,102.0
INDIANA PACERS,240,32,83,9,30,22,25,9,35,20,8,3,18,21,away,loss,95.0,CHICAGO BULLS,108.0
CHICAGO BULLS,240,40,84,6,16,22,30,10,38,19,10,4,12,22,home,win,108.0,INDIANA PACERS,95.0
WASHINGTON WIZARDS,240,32,82,7,22,14,20,9,20,21,3,4,9,19,away,loss,85.0,CLEVELAND CAVALIERS,121.0
CLEVELAND CAVALIERS,240,47,84,7,22,20,24,13,40,39,5,8,5,16,home,win,121.0,WASHINGTON WIZARDS,85.0
ATLANTA HAWKS,240,38,97,5,12,19,26,15,36,29,15,7,15,26,away,loss,100.0,DENVER NUGGETS,107.0
DENVER NUGGETS,240,34,77,5,15,34,40,6,39,26,8,7,17,18,home,win,107.0,ATLANTA HAWKS,100.0
SACRAMENTO KINGS,240,31,74,6,19,17,33,13,27,20,8,3,21,20,away,loss,85.0,LOS ANGELES CLIPPERS,111.0
LOS ANGELES CLIPPERS,240,41,87,4,7,25,29,15,35,30,11,4,13,24,home,win,111.0,SACRAMENTO KINGS,85.0
ORLANDO MAGIC,240,41,75,18,33,12,16,5,28,18,11,4,6,24,away,win,112.0,MEMPHIS GRIZZLIES,85.0
MEMPHIS GRIZZLIES,240,30,69,6,18,19,29,12,28,13,1,3,15,19,home,loss,85.0,ORLANDO MAGIC,112.0
PHOENIX SUNS,240,42,75,10,27,13,13,3,23,32,7,4,16,25,away,loss,107.0,MINNESOTA TIMBERWOLVES,117.0
MINNESOTA TIMBERWOLVES,240,46,92,3,10,22,34,22,26,28,9,1,10,13,home,win,117.0,PHOENIX SUNS,107.0
PORTLAND TRAIL BLAZERS,240,30,76,8,26,13,19,12,25,21,4,7,8,21,away,loss,81.0,NEW ORLEANS HORNETS,96.0
NEW ORLEANS HORNETS,240,36,77,5,17,19,26,12,29,24,4,3,8,16,home,win,96.0,PORTLAND TRAIL BLAZERS,81.0
DETROIT PISTONS,240,32,71,5,18,17,24,12,21,17,7,6,9,18,away,win,86.0,PHILADELPHIA 76ERS,78.0
PHILADELPHIA 76ERS,240,33,76,4,14,8,13,19,28,17,4,1,18,20,home,loss,78.0,DETROIT PISTONS,86.0
LOS ANGELES LAKERS,240,35,75,5,15,16,21,12,36,17,4,4,22,21,away,loss,91.0,SAN ANTONIO SPURS,103.0
SAN ANTONIO SPURS,240,40,85,11,23,12,18,9,26,23,16,5,7,17,home,win,103.0,LOS ANGELES LAKERS,91.0
HOUSTON ROCKETS,240,41,88,11,23,16,26,11,24,28,4,3,7,24,away,win,109.0,SEATTLE SUPERSONICS,107.0
SEATTLE SUPERSONICS,240,42,81,1,8,22,27,8,28,23,2,4,9,23,home,loss,107.0,HOUSTON ROCKETS,109.0
