team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
BOSTON CELTICS,240,41,93,9,28,16,21,16,32,16,11,7,19,14,away,loss,107.0,BROOKLYN NETS,112.0
BROOKLYN NETS,240,43,93,17,41,9,13,13,36,30,9,6,18,24,home,win,112.0,BOSTON CELTICS,107.0
MILWAUKEE BUCKS,240,45,88,12,34,17,23,11,36,28,7,4,13,15,away,win,119.0,CLEVELAND CAVALIERS,110.0
CLEVELAND CAVALIERS,240,44,88,17,34,5,10,8,33,32,7,1,14,22,home,loss,110.0,MILWAUKEE BUCKS,119.0
CHARLOTTE HORNETS,240,40,83,19,38,11,15,11,26,26,8,6,10,17,away,win,110.0,DETROIT PISTONS,107.0
DETROIT PISTONS,240,41,83,15,35,10,20,14,31,27,5,4,13,16,home,loss,107.0,CHARLOTTE HORNETS,110.0
ATLANTA HAWKS,265,39,90,9,32,17,18,10,38,14,10,3,24,27,away,loss,104.0,INDIANA PACERS,105.0
INDIANA PACERS,265,39,92,6,26,21,28,9,33,19,12,6,15,20,home,win,105.0,ATLANTA HAWKS,104.0
WASHINGTON WIZARDS,240,38,96,10,37,17,19,13,32,25,10,2,17,23,away,loss,103.0,LOS ANGELES LAKERS,125.0
LOS ANGELES LAKERS,240,45,87,14,32,21,28,7,40,29,9,8,18,20,home,win,125.0,WASHINGTON WIZARDS,103.0
UTAH JAZZ,240,38,95,12,35,15,19,11,41,18,8,2,5,15,away,win,103.0,MEMPHIS GRIZZLIES,94.0
MEMPHIS GRIZZLIES,240,37,94,10,34,10,17,15,40,22,1,8,11,17,home,loss,94.0,UTAH JAZZ,103.0
GOLDEN STATE WARRIORS,240,30,77,10,28,35,40,5,26,19,4,3,9,23,away,loss,105.0,MIAMI HEAT,122.0
MIAMI HEAT,240,44,82,13,25,21,28,10,39,23,7,3,15,30,home,win,122.0,GOLDEN STATE WARRIORS,105.0
PHILADELPHIA 76ERS,240,31,72,7,26,32,40,8,38,22,5,10,16,23,away,win,101.0,NEW YORK KNICKS,95.0
NEW YORK KNICKS,240,34,78,8,20,19,33,9,28,14,5,4,14,33,home,loss,95.0,PHILADELPHIA 76ERS,101.0
NEW ORLEANS PELICANS,240,39,87,11,38,15,21,7,37,19,8,3,13,12,away,loss,104.0,OKLAHOMA CITY THUNDER,109.0
OKLAHOMA CITY THUNDER,240,43,90,13,34,10,16,6,36,27,6,8,11,17,home,win,109.0,NEW ORLEANS PELICANS,104.0
TORONTO RAPTORS,240,31,84,11,38,17,28,11,35,21,16,4,13,20,away,win,90.0,ORLANDO MAGIC,83.0
ORLANDO MAGIC,240,27,78,7,29,22,27,13,39,17,10,11,22,19,home,loss,83.0,TORONTO RAPTORS,90.0
DALLAS MAVERICKS,240,35,85,17,47,33,38,9,38,20,7,3,8,24,away,win,120.0,PHOENIX SUNS,113.0
PHOENIX SUNS,240,41,93,13,38,18,25,11,36,29,3,3,10,29,home,loss,113.0,DALLAS MAVERICKS,120.0
CHICAGO BULLS,240,36,94,14,38,17,25,11,36,24,8,2,11,22,away,loss,103.0,PORTLAND TRAIL BLAZERS,107.0
PORTLAND TRAIL BLAZERS,240,38,84,10,30,21,28,8,41,20,6,11,13,21,home,win,107.0,CHICAGO BULLS,103.0
LOS ANGELES CLIPPERS,240,36,92,12,33,13,13,9,39,23,6,5,14,17,away,loss,97.0,SAN ANTONIO SPURS,107.0
SAN ANTONIO SPURS,240,40,93,14,36,13,14,8,40,28,8,8,9,15,home,win,107.0,LOS ANGELES CLIPPERS,97.0
