slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
johnsjo02,Joe Johnson,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,2607,13,21,6,9,2,4,1,3,6,2,1,0,0,32.2
stoudam01,Amar'e Stoudemire,PHOENIX SUNS,AWAY,HOUSTON ROCKETS,LOSS,2528,14,24,0,0,9,11,4,7,1,2,2,1,3,31.8
bryanko01,Kobe Bryant,LOS ANGELES LAKERS,HOME,NEW ORLEANS HORNETS,WIN,2587,9,17,3,7,8,10,1,9,8,2,0,1,3,28.7
maxieja01,Jason Maxiell,DETROIT PISTONS,HOME,WASHINGTON WIZARDS,WIN,1697,11,13,0,0,6,9,3,5,2,0,3,0,2,28.4
gasolpa01,Pau Gasol,LOS ANGELES LAKERS,HOME,NEW ORLEANS HORNETS,WIN,2470,9,12,0,0,7,7,4,2,3,0,2,1,2,25.3
jamesle01,LeBron James,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,2291,13,21,2,6,6,12,0,6,2,3,0,3,2,24.5
smithjo03,Josh Smith,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,2367,7,12,0,0,10,12,1,5,4,1,2,2,2,22.2
delfica01,Carlos Delfino,TORONTO RAPTORS,HOME,NEW JERSEY NETS,WIN,1310,7,10,6,8,4,4,2,3,1,1,1,1,5,21.5
aldrila01,LaMarcus Aldridge,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,LOSS,2372,11,21,0,0,2,2,5,10,0,3,3,2,5,21.3
paulch01,Chris Paul,NEW ORLEANS HORNETS,AWAY,LOS ANGELES LAKERS,LOSS,2367,4,13,0,1,7,8,1,5,17,4,0,3,5,20.2
boshch01,Chris Bosh,TORONTO RAPTORS,HOME,NEW JERSEY NETS,WIN,2298,7,12,0,1,7,9,2,7,3,3,1,3,2,20.1
rondora01,Rajon Rondo,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,1379,8,12,0,0,0,0,1,4,10,1,0,2,0,18.7
horfoal01,Al Horford,ATLANTA HAWKS,AWAY,NEW YORK KNICKS,WIN,1984,6,10,0,0,7,9,2,9,1,2,2,2,4,18.2
foyera01,Randy Foye,MINNESOTA TIMBERWOLVES,AWAY,ORLANDO MAGIC,WIN,2694,10,21,3,5,2,2,1,5,4,1,0,1,3,18.1
grangda01,Danny Granger,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,WIN,2648,13,25,3,9,1,2,1,11,0,1,2,4,4,18.1
lewisra02,Rashard Lewis,ORLANDO MAGIC,HOME,MINNESOTA TIMBERWOLVES,LOSS,2466,7,15,4,9,0,1,3,4,4,1,3,1,1,17.7
westde01,Delonte West,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,2494,5,10,1,3,5,7,2,2,6,3,1,2,1,17.7
noahjo01,Joakim Noah,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,2320,4,7,0,0,9,13,3,8,1,1,4,2,4,17.5
stojape01,Peja Stojaković,NEW ORLEANS HORNETS,AWAY,LOS ANGELES LAKERS,LOSS,2350,9,16,6,11,0,0,0,3,1,1,0,0,4,17.4
chandty01,Tyson Chandler,NEW ORLEANS HORNETS,AWAY,LOS ANGELES LAKERS,LOSS,2032,8,8,0,0,2,2,3,5,0,0,0,0,5,17.2
barroea01,Earl Barron,MIAMI HEAT,HOME,MEMPHIS GRIZZLIES,LOSS,1131,9,13,0,0,4,4,3,0,1,0,0,1,3,17.1
millean02,Andre Miller,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,LOSS,2134,11,21,0,0,1,2,4,3,2,1,0,1,2,16.6
