slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
jamesle01,LeBron James,CLEVELAND CAVALIERS,AWAY,MEMPHIS GRIZZLIES,WIN,2830,18,28,6,12,9,16,3,5,9,3,1,4,1,45.0
hamilri01,Richard Hamilton,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,2302,16,22,5,6,2,3,0,4,6,0,0,0,1,34.6
lewisra02,Rashard Lewis,ORLANDO MAGIC,HOME,CHICAGO BULLS,WIN,2032,8,12,4,5,6,7,2,4,4,1,1,0,1,27.1
cassesa01,Sam Cassell,LOS ANGELES CLIPPERS,HOME,PHOENIX SUNS,WIN,1891,15,21,0,1,2,2,1,5,7,1,0,4,3,26.2
anthoca01,Carmelo Anthony,DENVER NUGGETS,AWAY,ATLANTA HAWKS,LOSS,2561,14,24,0,1,8,12,6,5,4,2,0,6,5,25.7
stoudam01,Amar'e Stoudemire,PHOENIX SUNS,AWAY,LOS ANGELES CLIPPERS,LOSS,2150,11,22,0,1,7,8,4,4,3,1,2,1,4,23.5
gayru01,Rudy Gay,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,LOSS,2830,12,22,3,6,3,4,3,6,3,2,1,2,6,23.3
walkean02,Antoine Walker,MINNESOTA TIMBERWOLVES,HOME,GOLDEN STATE WARRIORS,LOSS,1540,10,15,4,7,2,2,5,5,0,1,0,2,1,23.1
davisba01,Baron Davis,GOLDEN STATE WARRIORS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2278,7,16,3,8,5,8,0,5,9,5,1,2,3,22.7
millean02,Andre Miller,PHILADELPHIA 76ERS,AWAY,HOUSTON ROCKETS,WIN,2366,10,18,0,0,6,8,3,2,6,3,0,4,0,22.5
butleca01,Caron Butler,WASHINGTON WIZARDS,AWAY,NEW YORK KNICKS,LOSS,2449,7,18,0,4,10,10,2,6,6,3,0,2,4,21.0
mingya01,Yao Ming,HOUSTON ROCKETS,HOME,PHILADELPHIA 76ERS,LOSS,2478,8,11,0,0,9,10,0,8,1,0,2,3,5,19.6
mcdyean01,Antonio McDyess,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,2032,4,7,0,0,1,2,3,10,3,7,2,0,4,19.3
crawfja01,Jamal Crawford,NEW YORK KNICKS,HOME,WASHINGTON WIZARDS,WIN,2558,11,19,6,7,1,2,0,3,4,1,0,4,3,19.2
navarju01,Juan Carlos Navarro,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,LOSS,2792,9,16,6,10,2,3,0,2,4,2,0,3,3,19.2
gasolpa01,Pau Gasol,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,LOSS,2704,9,16,0,0,1,3,4,8,5,2,2,3,4,18.1
willima02,Marvin Williams,ATLANTA HAWKS,HOME,DENVER NUGGETS,WIN,2007,8,12,0,0,3,4,1,8,4,1,1,1,5,18.0
conlemi01,Mike Conley,MEMPHIS GRIZZLIES,HOME,CLEVELAND CAVALIERS,LOSS,2333,7,10,2,3,4,6,0,1,7,2,0,4,1,17.8
billuch01,Chauncey Billups,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,1829,5,9,3,4,7,7,0,3,4,0,0,2,0,17.4
iguodan01,Andre Iguodala,PHILADELPHIA 76ERS,AWAY,HOUSTON ROCKETS,WIN,2381,3,9,1,2,10,11,1,6,5,1,0,1,1,17.1
willilo02,Lou Williams,PHILADELPHIA 76ERS,AWAY,HOUSTON ROCKETS,WIN,1371,7,13,0,0,4,5,1,0,6,3,0,1,3,17.0
battish01,Shane Battier,HOUSTON ROCKETS,HOME,PHILADELPHIA 76ERS,LOSS,2558,7,9,3,4,0,0,3,1,2,2,1,2,3,16.8
