team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW ORLEANS HORNETS,240,39,89,7,23,5,11,9,24,24,14,5,10,16
DALLAS MAVERICKS,240,38,69,6,15,12,13,6,34,23,5,4,23,13
OKLAHOMA CITY THUNDER,240,31,79,5,13,26,31,12,29,23,7,9,20,29
DENVER NUGGETS,240,32,80,4,14,34,40,14,26,20,10,7,17,26
WASHINGTON WIZARDS,240,33,85,5,16,24,28,16,31,20,12,4,18,25
LOS ANGELES CLIPPERS,240,35,82,6,16,21,31,15,32,26,11,8,18,23
BOSTON CELTICS,240,42,80,10,20,16,21,11,25,25,6,7,12,21
MEMPHIS GRIZZLIES,240,42,82,1,13,20,22,11,25,14,9,5,10,19
INDIANA PACERS,240,42,88,7,22,7,10,7,38,26,4,3,9,28
ORLANDO MAGIC,240,36,86,9,29,25,35,11,37,18,4,6,6,15
GOLDEN STATE WARRIORS,240,30,68,9,18,32,40,6,20,18,10,6,20,23
PHILADELPHIA 76ERS,240,48,97,4,18,17,20,25,34,24,11,6,18,25
MINNESOTA TIMBERWOLVES,240,40,83,7,15,23,34,14,34,21,9,1,15,26
UTAH JAZZ,240,41,81,5,15,21,37,7,29,28,5,6,12,26
