team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MILWAUKEE BUCKS,265,48,116,17,55,22,23,22,49,30,6,3,16,20,away,loss,135.0,ATLANTA HAWKS,136.0
ATLANTA HAWKS,265,52,118,22,61,10,17,15,43,36,10,10,9,13,home,win,136.0,MILWAUKEE BUCKS,135.0
WASHINGTON WIZARDS,240,37,92,6,24,15,20,9,45,24,9,6,10,21,away,win,95.0,DENVER NUGGETS,90.0
DENVER NUGGETS,240,35,93,7,36,13,20,12,45,18,6,5,11,18,home,loss,90.0,WASHINGTON WIZARDS,95.0
CHARLOTTE HORNETS,240,30,85,8,32,22,25,7,21,24,8,4,11,11,away,loss,90.0,GOLDEN STATE WARRIORS,137.0
GOLDEN STATE WARRIORS,240,53,88,21,33,10,12,10,40,41,7,10,15,19,home,win,137.0,CHARLOTTE HORNETS,90.0
MEMPHIS GRIZZLIES,240,32,85,8,33,24,29,6,28,22,13,6,14,26,away,loss,96.0,LOS ANGELES CLIPPERS,113.0
LOS ANGELES CLIPPERS,240,36,75,7,27,34,38,5,42,23,9,5,18,23,home,win,113.0,MEMPHIS GRIZZLIES,96.0
LOS ANGELES LAKERS,240,48,101,15,38,19,22,11,35,30,16,5,10,20,away,win,130.0,NEW ORLEANS PELICANS,102.0
NEW ORLEANS PELICANS,240,38,83,8,31,18,21,5,40,19,5,1,24,16,home,loss,102.0,LOS ANGELES LAKERS,130.0
DALLAS MAVERICKS,240,37,87,16,44,16,23,10,42,18,3,2,13,19,away,win,106.0,OKLAHOMA CITY THUNDER,103.0
OKLAHOMA CITY THUNDER,240,38,98,11,43,16,22,15,34,19,6,6,8,21,home,loss,103.0,DALLAS MAVERICKS,106.0
SACRAMENTO KINGS,240,39,81,11,25,24,28,7,35,20,9,1,12,15,away,win,113.0,SAN ANTONIO SPURS,106.0
SAN ANTONIO SPURS,240,44,94,8,27,10,14,15,27,24,7,3,11,22,home,loss,106.0,SACRAMENTO KINGS,113.0
