team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHICAGO BULLS,240,46,85,14,28,19,24,8,42,27,5,5,16,21,away,win,125.0,BROOKLYN NETS,106.0
BROOKLYN NETS,240,39,94,13,41,15,16,6,27,26,9,1,11,21,home,loss,106.0,CHICAGO BULLS,125.0
MILWAUKEE BUCKS,240,51,93,10,36,10,12,10,41,25,4,5,12,21,away,win,122.0,DALLAS MAVERICKS,107.0
DALLAS MAVERICKS,240,36,87,22,53,13,20,9,28,23,6,5,14,15,home,loss,107.0,MILWAUKEE BUCKS,122.0
NEW YORK KNICKS,240,35,78,7,22,26,41,10,29,22,6,5,13,23,away,loss,103.0,DETROIT PISTONS,120.0
DETROIT PISTONS,240,42,86,13,30,23,29,11,35,24,3,6,12,27,home,win,120.0,NEW YORK KNICKS,103.0
MINNESOTA TIMBERWOLVES,240,46,91,9,21,16,22,10,39,22,6,8,15,20,away,loss,117.0,NEW ORLEANS PELICANS,122.0
NEW ORLEANS PELICANS,240,43,91,9,30,27,28,8,37,27,11,7,11,21,home,win,122.0,MINNESOTA TIMBERWOLVES,117.0
DENVER NUGGETS,240,46,94,6,26,12,13,8,32,35,5,3,12,19,away,loss,110.0,PHILADELPHIA 76ERS,117.0
PHILADELPHIA 76ERS,240,39,78,10,22,29,32,7,35,23,7,5,17,12,home,win,117.0,DENVER NUGGETS,110.0
GOLDEN STATE WARRIORS,240,41,81,10,29,25,35,9,40,30,5,9,18,23,away,win,117.0,PHOENIX SUNS,107.0
PHOENIX SUNS,240,39,101,6,31,23,30,19,29,23,12,1,11,28,home,loss,107.0,GOLDEN STATE WARRIORS,117.0
MIAMI HEAT,240,38,88,11,33,9,19,11,38,26,6,8,18,21,away,loss,96.0,SACRAMENTO KINGS,102.0
SACRAMENTO KINGS,240,37,90,9,26,19,25,10,36,18,11,5,13,17,home,win,102.0,MIAMI HEAT,96.0
CLEVELAND CAVALIERS,240,36,96,12,38,22,25,17,35,21,6,3,14,16,away,loss,106.0,WASHINGTON WIZARDS,119.0
WASHINGTON WIZARDS,240,46,92,12,35,15,16,10,38,35,10,4,16,19,home,win,119.0,CLEVELAND CAVALIERS,106.0
