team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CLEVELAND CAVALIERS,240,41,78,7,16,17,29,13,29,20,7,3,15,22,away,win,106.0,ATLANTA HAWKS,95.0
ATLANTA HAWKS,240,32,71,4,13,27,34,7,25,15,7,3,11,25,home,loss,95.0,CLEVELAND CAVALIERS,106.0
SACRAMENTO KINGS,240,34,77,5,15,17,29,6,32,14,11,4,19,22,away,loss,90.0,DALLAS MAVERICKS,109.0
DALLAS MAVERICKS,240,37,76,11,21,24,27,9,40,26,9,8,18,26,home,win,109.0,SACRAMENTO KINGS,90.0
NEW YORK KNICKS,240,36,83,6,15,22,32,13,35,20,8,2,10,20,away,loss,100.0,DETROIT PISTONS,108.0
DETROIT PISTONS,240,38,79,11,22,21,24,8,30,26,6,6,10,21,home,win,108.0,NEW YORK KNICKS,100.0
DENVER NUGGETS,240,43,95,6,17,14,16,20,32,24,8,4,14,17,away,win,106.0,MINNESOTA TIMBERWOLVES,92.0
MINNESOTA TIMBERWOLVES,240,38,86,5,13,11,12,11,29,22,9,9,18,21,home,loss,92.0,DENVER NUGGETS,106.0
CHICAGO BULLS,240,41,86,12,21,17,25,10,33,25,6,7,15,32,away,win,111.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,108.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,36,78,9,18,27,40,11,33,25,7,6,18,22,home,loss,108.0,CHICAGO BULLS,111.0
MILWAUKEE BUCKS,240,47,92,5,14,17,26,15,28,18,7,2,13,26,away,loss,116.0,PHOENIX SUNS,122.0
PHOENIX SUNS,240,41,81,11,26,29,33,11,29,26,7,10,14,22,home,win,122.0,MILWAUKEE BUCKS,116.0
ORLANDO MAGIC,240,37,75,3,11,14,19,10,31,22,6,6,14,20,away,win,91.0,PORTLAND TRAIL BLAZERS,89.0
PORTLAND TRAIL BLAZERS,240,32,78,2,16,23,30,16,26,17,8,5,10,21,home,loss,89.0,ORLANDO MAGIC,91.0
INDIANA PACERS,240,40,75,8,17,15,23,5,32,24,5,4,19,23,away,loss,103.0,SEATTLE SUPERSONICS,105.0
SEATTLE SUPERSONICS,240,40,85,1,13,24,28,9,29,22,11,2,10,23,home,win,105.0,INDIANA PACERS,103.0
BOSTON CELTICS,240,36,69,5,12,25,30,6,27,21,6,5,16,26,away,loss,102.0,TORONTO RAPTORS,106.0
TORONTO RAPTORS,240,42,76,1,6,21,25,7,25,24,6,7,10,22,home,win,106.0,BOSTON CELTICS,102.0
CHARLOTTE BOBCATS,240,42,80,7,15,18,24,12,24,22,8,6,21,24,away,loss,109.0,WASHINGTON WIZARDS,121.0
WASHINGTON WIZARDS,240,46,84,6,13,23,32,14,24,28,10,4,16,21,home,win,121.0,CHARLOTTE BOBCATS,109.0
