slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
howardw01,Dwight Howard,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,WIN,2442,6,12,0,0,9,12,7,16,5,3,4,2,4,29.2
smithjr01,J.R. Smith,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,1544,12,20,7,14,3,3,1,0,3,2,0,1,2,27.8
wadedw01,Dwyane Wade,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,1995,7,13,4,7,15,17,0,5,8,2,0,6,3,27.8
iguodan01,Andre Iguodala,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,2674,13,19,1,2,4,6,2,7,1,1,0,2,3,24.1
jordade01,DeAndre Jordan,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,1503,8,8,0,0,5,9,2,6,0,1,2,0,0,22.6
millean02,Andre Miller,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,2695,6,17,0,0,9,10,2,8,12,2,0,3,3,21.1
bellch01,Charlie Bell,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,LOSS,2482,7,12,5,8,4,4,2,5,5,0,0,2,2,21.0
butleca01,Caron Butler,WASHINGTON WIZARDS,HOME,MIAMI HEAT,LOSS,2341,10,16,2,3,5,7,0,2,3,2,0,2,3,20.5
jefferi01,Richard Jefferson,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,LOSS,1851,7,14,2,3,8,9,0,6,2,2,0,0,4,20.2
gayru01,Rudy Gay,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,WIN,2190,10,17,3,3,3,4,1,3,2,3,0,3,2,19.9
stuckro01,Rodney Stuckey,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,1949,6,14,3,5,8,8,2,1,4,2,0,2,4,18.5
harrial01,Al Harrington,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,1981,8,14,1,4,5,6,1,6,1,2,0,1,2,18.4
lopezbr01,Brook Lopez,NEW JERSEY NETS,AWAY,CHICAGO BULLS,LOSS,2118,7,10,0,0,6,7,3,7,1,0,2,2,4,18.1
bargnan01,Andrea Bargnani,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,2384,8,19,3,6,4,4,2,5,2,2,4,3,3,17.8
haywobr01,Brendan Haywood,WASHINGTON WIZARDS,HOME,MIAMI HEAT,LOSS,2097,7,12,0,0,4,9,5,7,4,0,1,1,2,17.7
sessira01,Ramon Sessions,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,LOSS,1938,7,11,0,0,2,2,1,2,11,0,0,2,2,17.3
conlemi01,Mike Conley,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,WIN,2467,6,11,4,6,1,2,0,6,9,2,0,3,3,17.2
duhonch01,Chris Duhon,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,2142,8,14,0,4,6,6,0,3,5,1,0,2,5,16.8
davisba01,Baron Davis,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,1592,7,14,2,3,0,0,2,3,8,3,0,2,3,16.7
jamisan01,Antawn Jamison,WASHINGTON WIZARDS,HOME,MIAMI HEAT,LOSS,2228,8,15,1,4,6,11,1,6,1,1,0,0,3,16.7
billuch01,Chauncey Billups,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,1910,4,5,2,2,2,2,0,3,9,0,0,0,3,16.1
caldejo01,José Calderón,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,2118,5,11,3,7,2,2,2,3,7,1,0,1,1,16.1
smithjo03,Josh Smith,ATLANTA HAWKS,HOME,ORLANDO MAGIC,LOSS,2690,8,15,0,1,3,5,2,9,4,1,2,3,4,15.6
mariosh01,Shawn Marion,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,2096,6,14,0,1,0,0,6,7,4,2,1,1,0,15.4
randoza01,Zach Randolph,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,LOSS,2125,10,20,1,2,1,2,5,7,1,1,1,3,3,15.4
hilarne01,Nenê Hilário,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,1543,4,5,0,0,6,8,0,7,3,1,0,0,3,15.3
anderch01,Chris Andersen,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,1908,5,6,0,0,3,4,1,7,0,0,3,0,2,14.5
anderry01,Ryan Anderson,NEW JERSEY NETS,AWAY,CHICAGO BULLS,LOSS,2041,6,16,1,6,4,4,6,4,2,2,1,2,3,14.5
johnsjo02,Joe Johnson,ATLANTA HAWKS,HOME,ORLANDO MAGIC,LOSS,2478,6,20,1,8,8,8,0,9,3,1,0,0,3,14.0
millebr01,Brad Miller,CHICAGO BULLS,HOME,NEW JERSEY NETS,WIN,1702,4,7,1,1,4,4,2,5,2,1,0,0,3,13.8
noahjo01,Joakim Noah,CHICAGO BULLS,HOME,NEW JERSEY NETS,WIN,1935,3,7,0,0,6,7,3,7,0,4,1,2,3,13.6
brownkw01,Kwame Brown,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,1622,6,11,0,0,3,4,4,3,0,0,2,1,0,13.4
rosede01,Derrick Rose,CHICAGO BULLS,HOME,NEW JERSEY NETS,WIN,2099,7,12,0,0,1,1,2,2,5,2,0,2,4,13.3
doolike01,Keyon Dooling,NEW JERSEY NETS,AWAY,CHICAGO BULLS,LOSS,2437,5,11,1,6,5,5,1,4,8,0,1,4,4,12.9
boshch01,Chris Bosh,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,2463,6,18,0,1,5,6,3,10,2,2,0,2,1,12.5
harride01,Devin Harris,NEW JERSEY NETS,AWAY,CHICAGO BULLS,LOSS,2087,4,9,0,0,6,8,0,8,5,3,0,4,3,12.2
warriha01,Hakim Warrick,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,WIN,1295,2,4,0,0,8,8,1,4,1,0,0,0,2,11.8
gasolma01,Marc Gasol,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,WIN,2088,4,10,0,0,11,14,2,8,0,0,0,3,4,11.6
diawaya01,Yakhouba Diawara,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,1750,6,12,4,9,0,0,0,2,2,1,0,0,4,11.4
leeda02,David Lee,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,2202,4,9,0,0,4,6,1,6,6,0,0,1,2,11.4
jonesja02,James Jones,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,1695,4,8,3,7,2,3,0,3,2,1,1,0,4,11.0
horfoal01,Al Horford,ATLANTA HAWKS,HOME,ORLANDO MAGIC,LOSS,2294,6,12,0,0,1,1,2,11,1,0,2,2,3,10.6
thomati01,Tim Thomas,CHICAGO BULLS,HOME,NEW JERSEY NETS,WIN,893,3,4,2,2,4,4,1,2,0,1,0,1,3,10.5
moonja01,Jamario Moon,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,1181,5,5,1,1,0,0,1,3,0,0,1,0,4,10.2
anthoca01,Carmelo Anthony,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,1715,6,14,0,1,6,7,1,4,4,0,0,5,0,9.9
cartean01,Anthony Carter,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,WIN,939,4,5,0,1,0,0,1,0,5,2,0,2,1,9.9
grahajo01,Joey Graham,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,1351,5,7,0,0,0,0,2,2,0,2,0,0,3,9.9
richaqu01,Quentin Richardson,NEW YORK KNICKS,HOME,TORONTO RAPTORS,LOSS,1394,6,11,1,4,0,0,1,5,0,1,0,1,0,9.9
thomaty01,Tyrus Thomas,CHICAGO BULLS,HOME,NEW JERSEY NETS,WIN,1676,2,8,0,0,5,6,2,3,3,1,3,1,1,9.9
parkean01,Anthony Parker,TORONTO RAPTORS,AWAY,NEW YORK KNICKS,WIN,1509,4,12,2,5,3,3,0,1,3,1,1,0,2,9.5
onealje01,Jermaine O'Neal,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,1769,8,13,0,0,0,2,1,5,1,0,0,2,2,9.4
crittja01,Javaris Crittenton,WASHINGTON WIZARDS,HOME,MIAMI HEAT,LOSS,2292,3,6,0,1,3,3,0,3,8,1,0,3,3,9.3
mayooj01,O.J. Mayo,MEMPHIS GRIZZLIES,AWAY,MILWAUKEE BUCKS,WIN,2393,3,10,2,5,4,4,0,0,7,1,0,2,2,9.3
hamilri01,Richard Hamilton,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,2403,6,17,3,8,0,0,0,5,4,1,0,1,2,9.0
mbahalu01,Luc Mbah a Moute,MILWAUKEE BUCKS,HOME,MEMPHIS GRIZZLIES,LOSS,1674,3,3,0,0,0,4,2,0,3,3,2,2,1,9.0
willilo02,Lou Williams,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1713,6,10,1,1,2,4,0,2,2,0,0,2,2,8.8
alstora01,Rafer Alston,ORLANDO MAGIC,AWAY,ATLANTA HAWKS,WIN,1723,5,10,2,3,2,4,0,2,3,0,0,1,3,8.7
