team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
TORONTO RAPTORS,240,44,100,9,30,23,32,18,19,15,10,3,7,30,away,loss,120.0,CHICAGO BULLS,129.0
CHICAGO BULLS,240,40,74,6,12,43,47,12,29,20,4,13,15,20,home,win,129.0,TORONTO RAPTORS,120.0
DENVER NUGGETS,240,31,82,2,18,18,24,9,28,11,6,4,13,20,away,loss,82.0,CHARLOTTE HORNETS,110.0
CHARLOTTE HORNETS,240,43,80,8,19,16,24,6,38,23,6,6,12,21,home,win,110.0,DENVER NUGGETS,82.0
ATLANTA HAWKS,240,40,81,7,19,18,27,6,37,26,6,6,17,21,away,win,105.0,DALLAS MAVERICKS,102.0
DALLAS MAVERICKS,240,39,90,11,28,13,20,13,34,23,12,5,15,23,home,loss,102.0,ATLANTA HAWKS,105.0
SACRAMENTO KINGS,240,43,90,8,17,14,21,9,30,31,5,5,13,17,away,loss,108.0,GOLDEN STATE WARRIORS,128.0
GOLDEN STATE WARRIORS,240,49,91,9,25,21,24,10,35,36,9,6,12,19,home,win,128.0,SACRAMENTO KINGS,108.0
PORTLAND TRAIL BLAZERS,240,34,76,10,27,17,18,5,30,19,9,5,22,23,away,loss,95.0,HOUSTON ROCKETS,110.0
HOUSTON ROCKETS,240,41,87,13,36,15,20,7,35,22,14,3,16,22,home,win,110.0,PORTLAND TRAIL BLAZERS,95.0
UTAH JAZZ,240,34,75,9,19,20,27,10,39,20,0,5,11,15,away,win,97.0,MEMPHIS GRIZZLIES,91.0
MEMPHIS GRIZZLIES,240,38,86,7,23,8,9,5,29,22,4,3,4,18,home,loss,91.0,UTAH JAZZ,97.0
LOS ANGELES CLIPPERS,240,43,86,10,24,22,29,11,25,23,10,5,10,22,away,loss,118.0,SAN ANTONIO SPURS,125.0
SAN ANTONIO SPURS,240,49,77,13,23,14,22,2,31,37,6,2,11,19,home,win,125.0,LOS ANGELES CLIPPERS,118.0
